Category,App_Count,Avg_Installs,Median_Installs,Total_Installs,Avg_Rating,Percent_Paid,Avg_Saturation_Index,Avg_App_Age,Market_Share,Demand_Score,Competition_Score,Saturation_Score,Quality_Score,Opportunity_Score
COMMUNICATION,316,34934418.52,100000.0,11039276251,4.14,8.54,0.33,291.29,13.809725604305486,1.0,0.8342077649527807,0.3653846153846154,0.828,0.7889392525627572
VIDEO_PLAYERS,164,23975016.59,1000000.0,3931902720,4.06,2.44,0.3,309.63,4.918664632665907,0.6862864076662467,0.9139559286463799,0.42307692307692313,0.8119999999999999,0.7270880855091726
ENTERTAINMENT,102,20722156.86,1000000.0,2113660000,4.14,1.96,0.28,89.91,2.644110352628618,0.593173086540328,0.9464847848898216,0.46153846153846145,0.828,0.7198050537367371
SOCIAL,239,22961790.38,100000.0,5487867902,4.26,1.26,0.32,225.19,6.865119429584935,0.6572827415705901,0.8746065057712487,0.3846153846153846,0.852,0.7068898511256285
PHOTOGRAPHY,281,16545009.45,1000000.0,4649147655,4.17,6.76,0.34,271.62,5.815911473692345,0.4736019705187867,0.8525708289611752,0.34615384615384615,0.834,0.6338826090747578
TRAVEL_AND_LOCAL,219,13218662.77,100000.0,2894887146,4.09,5.48,0.33,206.59,3.621396569188097,0.3783850806743011,0.885099685204617,0.3653846153846154,0.818,0.6157223528405985
PRODUCTIVITY,374,15489549.11,100000.0,5793091369,4.21,7.49,0.36,302.05,7.2469426788113465,0.4433893497077162,0.8037775445960126,0.3076923076923077,0.842,0.6040885298295802
WEATHER,79,4570892.66,1000000.0,361100520,4.25,10.13,0.29,268.77,0.4517233723832486,0.13084209938640193,0.9585519412381952,0.4423076923076924,0.85,0.5852797506489177
BOOKS_AND_REFERENCE,222,7504367.46,10000.0,1665969576,4.38,12.61,0.34,423.79,2.08406621834444,0.21481300613902415,0.8835257082896117,0.34615384615384615,0.876,0.57393238355936
NEWS_AND_MAGAZINES,254,9327628.98,50000.0,2369217760,4.14,0.79,0.35,189.85,2.963803642424791,0.2670039856155018,0.8667366211962224,0.326923076923077,0.828,0.5711067974281326
ART_AND_DESIGN,64,1786532.81,100000.0,114338100,4.36,4.69,0.29,122.52,0.14303272707525627,0.051139617766278476,0.9664218258132214,0.4423076923076924,0.8720000000000001,0.5681299715353885
SHOPPING,202,6932419.73,1000000.0,1400348785,4.24,0.99,0.34,130.02,1.7517844495847992,0.19844096520545149,0.8940188877229801,0.34615384615384615,0.8480000000000001,0.5665687251092988
EDUCATION,119,2965983.19,1000000.0,352952000,4.36,3.36,0.32,250.13,0.4415298757515286,0.08490146152860596,0.9375655823714586,0.3846153846153846,0.8720000000000001,0.5580631900930962
BEAUTY,53,513151.89,50000.0,27197050,4.28,0.0,0.3,147.51,0.03402250194731326,0.014689006193311042,0.972193074501574,0.42307692307692313,0.8560000000000001,0.5518800088238501
MAPS_AND_NAVIGATION,131,3841846.49,100000.0,503281890,4.05,3.82,0.32,197.42,0.6295869986845081,0.10997310540035289,0.9312696747114375,0.3846153846153846,0.8099999999999999,0.551295910956614
COMICS,56,803234.82,100000.0,44981150,4.19,0.0,0.3,112.93,0.05626975217780568,0.02299264891270902,0.9706190975865687,0.42307692307692313,0.8380000000000001,0.5502989085651679
PARENTING,60,525351.83,100000.0,31521110,4.32,3.33,0.31,114.6,0.03943174080852429,0.015038230268502546,0.968520461699895,0.40384615384615385,0.8640000000000001,0.5486368383597501
HOUSE_AND_HOME,74,1313681.91,500000.0,97212461,4.16,0.0,0.31,223.31,0.12160918716094629,0.03760423003027559,0.9611752360965372,0.40384615384615385,0.8320000000000001,0.5468030706072746
EVENTS,64,249580.64,1000.0,15973161,4.45,1.56,0.34,125.44,0.019981832633585196,0.007144262036510347,0.9664218258132214,0.34615384615384615,0.89,0.5393005955856888
FOOD_AND_DRINK,112,1891060.28,300000.0,211798751,4.19,1.79,0.33,103.01,0.26495239073120125,0.0541317233867043,0.9412381951731374,0.3653846153846154,0.8380000000000001,0.5392878986448757
AUTO_AND_VEHICLES,85,625061.31,100000.0,53130211,4.21,3.53,0.33,109.67,0.06646392558048261,0.01789242061212931,0.9554039874081847,0.3653846153846154,0.842,0.5334658454830172
LIBRARIES_AND_DEMO,84,630903.69,10000.0,52995910,4.18,1.19,0.33,441.26,0.06629592000509756,0.018059659119238142,0.9559286463798531,0.3653846153846154,0.836,0.5324734147266506
HEALTH_AND_FITNESS,288,3972300.39,100000.0,1144022512,4.28,5.21,0.37,184.27,1.4311297784976755,0.11370735676409935,0.8488982161594963,0.28846153846153855,0.8560000000000001,0.5176739795693864
SPORTS,327,3964753.82,100000.0,1296474498,4.23,7.34,0.38,217.82,1.6218415649067448,0.11349133570751072,0.8284365162644282,0.2692307692307693,0.8460000000000001,0.5056245094377356
PERSONALIZATION,376,4075783.99,10000.0,1532494782,4.35,21.54,0.39,428.82,1.917094196055911,0.1166695815379497,0.8027282266526757,0.25,0.8699999999999999,0.49981934245718757
DATING,171,824129.28,10000.0,140926107,4.0,3.51,0.38,71.02,0.17629333879353742,0.023590754187827252,0.9102833158447009,0.2692307692307693,0.8,0.4940083748559123
GAME,960,14509296.27,1000000.0,13928924415,4.25,8.54,0.42,323.73,17.42456840110662,0.4153295484707555,0.49632738719832115,0.1923076923076924,0.85,0.48195861916226146
FINANCE,339,1343025.76,10000.0,455285734,4.14,3.24,0.41,167.09,0.5695455857013517,0.03844419964314322,0.8221406086044072,0.21153846153846156,0.828,0.4660831347819574
LIFESTYLE,362,1391413.09,10000.0,503691539,4.12,3.31,0.42,305.48,0.6300994544067358,0.039829290108361594,0.8100734522560336,0.1923076923076924,0.8240000000000001,0.4582323611708571
TOOLS,829,9774151.89,50000.0,8102771915,4.06,9.41,0.42,348.7,10.136267472270804,0.27978573292709263,0.5650577124868835,0.1923076923076924,0.8119999999999999,0.4543145720857313
BUSINESS,420,1659916.35,1000.0,697164865,4.14,2.86,0.42,299.98,0.8721274173875802,0.0475152133718698,0.7796432318992654,0.1923076923076924,0.828,0.4522090720428791
MEDICAL,396,98972.67,1000.0,39193177,4.2,20.96,0.52,286.24,0.049029212388986804,0.00283309910950251,0.7922350472193075,0.0,0.8400000000000001,0.40652044389864306
FAMILY,1906,4661918.94,100000.0,8885617505,4.2,9.55,0.49,324.58,11.115578302313791,0.13344773256583747,0.0,0.05769230769230771,0.8400000000000001,0.21957278130821284
